ACC (%),PRE (%),REC (%),F1 (%),ROC AUC (%)
Train CountVec,99.80,99.78,99.78,99.78,99.80
Train CountVec porter,99.80,100.00,99.55,99.78,99.78
Train CountVec snowball,99.80,100.00,99.55,99.78,99.78
Train CountVec wl,99.50,99.77,99.10,99.44,99.46
Train CountVec porter+wl,99.50,99.77,99.10,99.44,99.46
Train CountVec snowball+wl,99.50,99.55,99.33,99.44,99.48
Train TfidfVec,99.80,99.78,99.78,99.78,99.80
Train TfidfVec porter,99.80,100.00,99.55,99.78,99.78
Train TfidfVec snowball,99.80,100.00,99.55,99.78,99.78
Train TfidfVec wl,99.40,99.33,99.33,99.33,99.39
Train TfidfVec porter+wl,99.40,100.00,98.65,99.32,99.33
Train TfidfVec snowball+wl,99.40,100.00,98.65,99.32,99.33
Test CountVec,63.00,73.85,45.71,56.47,63.91
Test CountVec porter,61.50,71.21,44.76,54.97,62.38
Test CountVec snowball,65.00,74.65,50.48,60.23,65.76
Test CountVec wl,61.00,69.01,46.67,55.68,61.75
Test CountVec porter+wl,62.50,71.43,47.62,57.14,63.28
Test CountVec snowball+wl,60.50,68.06,46.67,55.37,61.23
Test TfidfVec,65.50,76.47,49.52,60.12,66.34
Test TfidfVec porter,64.50,74.29,49.52,59.43,65.29
Test TfidfVec snowball,67.50,80.30,50.48,61.99,68.40
Test TfidfVec wl,59.50,66.67,45.71,54.24,60.23
Test TfidfVec porter+wl,58.00,63.29,47.62,54.35,58.55
Test TfidfVec snowball+wl,58.50,64.47,46.67,54.14,59.12
